# Summary
file	blocks	japanese_runs
SLGINIT.DAT	6928	1784810
GADAT030.DAT	193	894174
GADAT002.DAT	358	640073
GADAT031.DAT	511	394398
GADAT032.DAT	1141	261776
MINI.DAT	1388	171732
ADV.DAT	538	85003
MISC.DAT	374	77464
GADAT020.DAT	435	71909
GADAT001.DAT	223	64391
ALBUM.DAT	195	48456
SLGRES.DAT	350	33082
GADAT000.DAT	26	7333
ETC.DAT	1	560

# Blocks
file	container_offset	japanese_runs	sample
ADV.DAT	0x4B70	109	用常駐デ | パッケ | ジ時 | セリフ関連デ | セリフウィンドウ
ADV.DAT	0x4F10	479	安藤修正 | ここから | 非パッケ | ジ時 | パッケ
ADV.DAT	0x6340	156	プニング | エンディング | ミルフィ | ランファ | ミント
ADV.DAT	0x6BC0	76	タクト | ミルフィ | ランファ | ミント | フォルテ
ADV.DAT	0x6F20	459	安藤追加 | ここから | ンチェンジの際に | 場所名を変更しない背景番号 | 白ベタ
ADV.DAT	0x84B0	2132	安藤修正 | ここから | パッケ | ジ時 | 安藤修正
ADV.DAT	0xB240	24	からの相対パス | 通常パスでは | まで | 中なら | まで含める
ADV.DAT	0xB400	1184	シナリオ | 管理テ | ブル | 原則として章をシ | ンわけし
ADV.DAT	0xEA40	12	ランダム分岐ラベルだったので | これは無視 | ランダム分岐ラベルだったので | これは無視 | ランダム分岐ラベルだったので
ADV.DAT	0x11830	82	梓潤擇喪 | 劍聡 | 叙擱 | 叙擇 | 叙擱
ADV.DAT	0x138A0	105	席彙 | 唆康 | 勢勢 | 彭傭 | 恬惧
ADV.DAT	0x15B20	90	滑血藻縛屏 | 峺嫣 | 鴨稽 | 椛穴 | 崘脳
ADV.DAT	0x17C20	98	分喪 | 寮々 | 息普 | 楸粗 | 槨杞
ADV.DAT	0x19E00	98	堅囹圉椢 | 麹葺梭 | 艮票 | 椰更 | 椹嗅
ADV.DAT	0x1BF50	88	幹私椒嗣 | 剿梼 | 雌満 | 且満 | 事棹
ADV.DAT	0x1DFF0	96	卸惧怎 | ペツ | 錘宴 | ラ雌悸 | レ糖
ADV.DAT	0x20170	118	香辧耕 | 落香 | 酷吏 | 酷勍 | 踏歹
ADV.DAT	0x222C0	79	牽瑛 | 往計 | 亦搆 | 町叡 | 耗探
ADV.DAT	0x244C0	90	献搆 | 吻都 | ユ血血激 | ャ謄 | 逃父
ADV.DAT	0x266C0	114	即砧 | 攪郷 | 苅及 | 亰蟻 | 旒牢
ADV.DAT	0x288F0	83	慣屁桿 | 草喝 | 叶麦 | 鵠屮 | 鵠椒
ADV.DAT	0x2AA50	142	働渡 | 瓦桂 | 捏攜 | 收填 | 于擲
ADV.DAT	0x2C9A0	140	勘撹 | 揺粒 | 了劾 | 征溜 | 勘余
ADV.DAT	0x2E8D0	221	荘荘 | 喧肩 | 兼涛 | 劔等 | 楊掠
ADV.DAT	0x312C0	203	滑滑 | 演横 | 燕演 | 荘国 | 薪瀬
ADV.DAT	0x33CF0	206	麹麹 | 渠協 | 巨瑞 | 恃粕 | 妬透
ADV.DAT	0x36750	233	鋳鋳 | 獄婚 | 告瑞 | 恂末 | 彬仏
ADV.DAT	0x39160	159	惧惧惧 | 棍ゼ | 封惧 | 惧恤給沸 | 買ヴ
ADV.DAT	0x3BDC0	191	囹囹囹沺沺 | 囓囹 | 囹囓視箕 | 譜彪 | 落字
ADV.DAT	0x3E9E0	187	惧封封封惧惧 | 恤瀦復惧封葡滑帳 | 惧賦 | 抽兜 | 全造
ADV.DAT	0x41620	248	試試 | 峅頤 | 演嬰託 | 呎韋 | 脹擶
ADV.DAT	0x441D0	145	試司 | 試試嚴 | 嚴噤 | 跖鞦 | 試試
ADV.DAT	0x46D60	171	蔔晙 | 蒲略 | 笥ヵ | 辛征 | 橆葭
ADV.DAT	0x49950	174	瑞ハ | ャャ瑞瑞恊 | 瑞惧カ | 裴鞨 | 瑞ヰォ
ADV.DAT	0x4C520	201	嘯虻 | 緒緒寶 | 櫤暙 | 緒屁 | 跛籘
ADV.DAT	0x4F160	122	演毒 | 櫤瞼 | 瑞針 | ヰャ瑞瑞恊 | 惧頗ォ
ADV.DAT	0x51D40	140	滑拡 | 滑滑刳 | 刳凵 | 跖鞣 | 滑滑
ADV.DAT	0x548F0	182	莱縁女立 | 洛曙血償 | 洛緒血件慊 | 初演煙件緒緒緒緒血愃褝 | 緒煙援演女覧洛緒曙懸
ADV.DAT	0x57510	163	棲鵁 | 鎧亢 | 試肢奮茖 | 諮私弊 | 封視
ADV.DAT	0x5A1A0	189	趨密 | 幕遂給裾 | 幕瑞給巨崔 | 巨瑞瑞瑞瑞給峺鴿 | 瑞末幕瑞遂菅
ADV.DAT	0x5CE00	153	荘鮒 | 阜糟倦蔵 | 舞荘糟倦 | 装荘荘荘糟血椹顋 | 荘血
ADV.DAT	0x5FA60	194	刳樺貯勦 | 剄注麹帖 | 剄鋳麹穀敖 | 抽滑轄穀鋳鋳鋳鋳麹攅恝 | 鋳轄滑滑鋳劔剄鋳注喋
ADV.DAT	0x62680	159	迫略 | 酪拍緒箱 | 濫諸緒諸 | 萩給居諸粕粕粕粕緒楔忞 | 粕居給給迫覧酪粕拍償
ADV.DAT	0x652C0	184	給驚 | 桴貯 | 薯聴 | 薯巣貯 | 剌緒鋳悳
ADV.DAT	0x67D50	163	麹査 | 粕估 | 粕堂鋳 | 灯白函 | 沒灯粕毫
ADV.DAT	0x6A800	157	武燈睡 | 寐試 | 劔劬 | 滑冖 | 囘刈顎滑刈
ADV.DAT	0x6D190	137	恂字囈 | 試買 | 荘柝 | 槽即 | 憎柯
ADV.DAT	0x6FB30	166	剴鴛剌 | 梔縁 | 囹國 | 血嗚 | 喞権鶏血権
ADV.DAT	0x724B0	165	卵女卵ヘ | 搶緒 | 个个 | 砿詫 | 麹詫
ADV.DAT	0x74E50	183	囹囹圈圈洸 | 囗國 | 囹嚼給丿 | 給丿 | 填透
ADV.DAT	0x77A90	215	纃輔 | 釮罪 | 肚聽肆 | 肚聽聽聽聽肆 | 聽聽聽聽聽聽聳
ADV.DAT	0x7A1A0	244	蛻主 | 裹裹 | 裲裹裹裹裹 | 裹裹裹裹裹裹籬 | 裹裹裹裘粐粐粐粐
ADV.DAT	0x7C8B0	221	馞馞洄 | 洄洄洄 | 馞洄沆 | 芻台 | 驎洄沆
