원문	빈도	분류	붙는 호칭	겹치는 표기	번역	예문
クリオム	8	지명		クリオム星系	크리옴	クリオム星系 → 크리옴 성계
ローム星系	40	지명		ローム	롬 성계	행성 ローム은 롬
タクト・マイヤーズ	37	인물		タクト マイヤーズ	택트・마이어스	주인공의 전체 이름
タクト	1350	인물		タクト・マイヤーズ	택트	주인공의 이름·호칭
マイヤーズ	203	인물		タクト・マイヤーズ	마이어스	주인공의 성
ミルフィーユ・桜葉	0	인물		ミルフィーユ ミルフィー 桜葉	밀피유・사쿠라바	문 엔젤대 대원 전체 이름
桜葉	2	인물		ミルフィーユ・桜葉	사쿠라바	밀피유의 성씨 단독 호칭
ミルフィーユ	11	인물		ミルフィーユ・桜葉 ミルフィー	밀피유	정식 이름 표기
ミルフィー	551	인물		ミルフィーユ ミルフィーユ・桜葉	밀피	작중 애칭
ランファ・フランボワーズ	1	인물		ランファ	란파・프란보와즈	문 엔젤대 대원 전체 이름
ランファ	579	인물		ランファ・フランボワーズ	란파	문 엔젤대 대원
ミント・ブラマンシュ	5	인물		ミント ブラマンシュ	민트・브라만슈	문 엔젤대 대원 전체 이름
ミント	555	인물		ミント・ブラマンシュ	민트	문 엔젤대 대원
ブラマンシュ	78	인물		ミント・ブラマンシュ ダルノー・ブラマンシュ	브라만슈	민트 일가의 성
フォルテ・シュトーレン	6	인물		フォルテ	포르테・슈토렌	문 엔젤대 대원 전체 이름
フォルテ	365	인물		フォルテ・シュトーレン	포르테	문 엔젤대 대원
ヴァニラ・Ｈ	0	인물		ヴァニラ	바닐라・H	문 엔젤대 대원 전체 이름
ヴァニラ	605	인물		ヴァニラ・Ｈ	바닐라	문 엔젤대 대원
レスター・クールダラス	3	인물		レスター クールダラス	레스터・쿨다라스	택트의 부관
レスター	91	인물		レスター・クールダラス	레스터	택트의 부관
シヴァ・トランスバール	3	인물		シヴァ トランスバール	시바・트랜스벌	트랜스벌 황국의 황자
シヴァ	274	인물		シヴァ・トランスバール	시바	트랜스벌 황국의 황자
エオニア・トランスバール	2	인물		エオニア トランスバール	에오니아・트랜스벌	반란군 지도자
エオニア	291	인물		エオニア・トランスバール	에오니아	반란군 지도자
トランスバール	43	지명·조직		シヴァ・トランスバール エオニア・トランスバール	트랜스벌	황국명 또는 황실 성
ルフト	79	인물			루프트	트랜스벌 황국군 장군
シャトヤーン	100	인물			샤토얀	백색 달의 성모
ノア	53	인물			노아	흑색 달의 관리 시스템
クロミエ・クワルク	1	인물		クロミエ	크로미에・콰르크	에르시올 승무원
クロミエ	61	인물		クロミエ・クワルク	크로미에	에르시올 승무원
アルモ	43	인물			아르모	에르시올 오퍼레이터
ココ	23	인물			코코	에르시올 오퍼레이터
ケーラ	41	인물			케라	에르시올 군의관
シェリー・ブリストル	1	인물		シェリー	셰리・브리스톨	에오니아군 인물
シェリー	23	인물		シェリー・ブリストル	셰리	에오니아군 인물
ギネス・スタウト	1	인물			기네스・스타우트	에오니아군 인물
